5.518023371696472168e-01,7.920213341712951660e-01,2.909317231569730211e-07
5.501611828804016113e-01,7.962288856506347656e-01,2.818609914356784429e-07
5.508866906166076660e-01,7.977233529090881348e-01,2.634203610796248540e-07
5.504243969917297363e-01,7.989088296890258789e-01,2.703380346247286070e-07
5.491556525230407715e-01,8.002591729164123535e-01,2.661951725713151973e-07
5.505298376083374023e-01,7.994795441627502441e-01,2.576097983819636283e-07
5.494778752326965332e-01,7.995820045471191406e-01,2.663570057848119177e-07
5.504279732704162598e-01,8.006613254547119141e-01,2.520234545499988599e-07
5.495055913925170898e-01,7.996737360954284668e-01,2.546908035583328456e-07
5.473129749298095703e-01,7.988593578338623047e-01,2.649593682235718006e-07
5.456188917160034180e-01,7.976274490356445312e-01,2.627160995416488731e-07
5.379428863525390625e-01,7.956756949424743652e-01,2.722520378029003041e-07
5.305273532867431641e-01,7.937731742858886719e-01,2.773535072719823802e-07
5.145582556724548340e-01,7.891440391540527344e-01,2.596852084479905898e-07
4.990611076354980469e-01,7.870613932609558105e-01,2.574649613507062895e-07
4.908872246742248535e-01,7.831772565841674805e-01,2.392936835349246394e-07
4.638795256614685059e-01,7.839444875717163086e-01,2.501080871297745034e-07
4.553973674774169922e-01,7.804467082023620605e-01,2.359122248662970378e-07
4.313703179359436035e-01,7.821687459945678711e-01,2.427656795589427929e-07
4.053269624710083008e-01,7.872245311737060547e-01,2.534718817059911089e-07
3.934901952743530273e-01,7.886450290679931641e-01,2.016138722638061154e-07
3.764351010322570801e-01,7.908331751823425293e-01,2.171787940596914268e-07
3.643029928207397461e-01,7.942422628402709961e-01,2.120973192631936399e-07
3.497388958930969238e-01,7.975751161575317383e-01,1.890561804884782759e-07
3.415072858333587646e-01,7.992374897003173828e-01,1.932895372647180920e-07
3.266545236110687256e-01,8.061552047729492188e-01,1.772647522102488438e-07
3.192548453807830811e-01,8.081272840499877930e-01,1.657454760106702452e-07
3.077101409435272217e-01,8.143032789230346680e-01,1.494916546107560862e-07
3.000974357128143311e-01,8.170976638793945312e-01,1.502290842836373486e-07
2.964522242546081543e-01,8.208150863647460938e-01,1.499708019991885521e-07
